,ortnamn,kommun,pop,area,popdensity,orttyp,latitude,longitude,efterled
Norrköping (Norrköping kommun),Norrköping,Norrköping,96946,3689,2628,tätort,58.5909124,16.1903511,köping
Norrmjöle (Umeå kommun),Norrmjöle,Umeå,216,152,142,tätort,63.6675284,20.1236303,
Norrsundet (Gävle kommun),Norrsundet,Gävle,1015,256,397,tätort,60.929974,17.1406678,
Norrtälje (Norrtälje kommun),Norrtälje,Norrtälje,21188,1036,2046,tätort,59.7591735,18.7037476,
Norsholm (Norrköping kommun),Norsholm,Norrköping,561,56,1008,tätort,58.5062936,15.974581,holm
Norsjö (Norsjö kommun),Norsjö,Norsjö,2054,252,816,tätort,64.9132139,19.4800731,sjö
Nossebro (Essunga kommun),Nossebro,Essunga,1956,187,1044,tätort,58.1883968,12.7192098,bro
Nusnäs (Mora kommun),Nusnäs,Mora,787,305,258,tätort,60.9625017,14.6461801,näs
Nya Långenäs (Härryda kommun),Nya Långenäs,Härryda,347,33,1044,tätort,57.6561382,12.165207,näs
Nyborg (Kalix kommun),Nyborg,Kalix,812,189,430,tätort,65.7896418,23.186449,borg
Nybro (Nybro kommun),Nybro,Nybro,13494,1089,1240,tätort,56.7452259,15.9061542,bro
Nybrostrand (Ystad kommun),Nybrostrand,Ystad,1150,141,814,tätort,55.433008,13.9502983,strand
Nye (Vetlanda kommun),Nye,Vetlanda,204,57,361,tätort,57.3436152,15.2740678,
Nyehusen (Kristianstad kommun),Nyehusen,Kristianstad,291,265,110,tätort,55.8540108,14.2252624,
Nygård (Lilla Edet kommun),Nygård,Lilla Edet,479,100,481,tätort,58.0569963,12.2158963,
Nygårds hagar (Nykvarn kommun),Nygårds hagar,Nykvarn,214,23,917,tätort,59.2178621,17.2811282,
Nyhagen (Österåker kommun),Nyhagen,Österåker,649,76,856,tätort,59.5004112,18.3725918,hagen
Översättra (Österåker kommun),Översättra,Österåker,649,76,856,tätort,59.4928526,18.3829318,sättra
Nyhammar (Ludvika kommun),Nyhammar,Ludvika,1044,245,426,tätort,60.2924427,14.9696544,hammar
Nykil (Linköping kommun),Nykil,Linköping,361,50,716,tätort,58.22165015,15.500700622883794,kil
Nykroppa (Filipstad kommun),Nykroppa,Filipstad,775,188,413,tätort,59.6225277,14.3045532,
Nykvarn (Nykvarn kommun),Nykvarn,Nykvarn,7739,572,1353,tätort,59.1772398,17.431243,kvarn
Nykyrka (Motala kommun),Nykyrka,Motala,382,56,684,tätort,58.6204494,14.9731177,kyrka
Nyköping (Nyköping kommun),Nyköping,Nyköping,33243,1514,2196,tätort,58.7545409,17.0120656,köping
Nyland (Kramfors kommun),Nyland,Kramfors,871,183,477,tätort,63.0085095,17.7570693,land
Nymölla (Bromölla kommun),Nymölla,Bromölla,264,137,192,tätort,56.0392881,14.4640354,la
